13.01924,13.74750,13.74750,12.19075,12.35588,13.34153,12.82529,12.46818,12.32558,13.74750,12.61965,12.19221,13.45943,13.74750,13.74750,12.15212,13.03249,13.55066,12.26524,13.02260,12.19866,13.53318,12.46100,12.18013,13.49051,13.15996,13.72932,12.86677,12.35579,13.71904,12.18552,11.66512,12.51194,13.72369,12.54413,12.46844,13.34279,13.58033,13.40899,12.57740,12.44490,13.71903,12.22542,12.11410,12.74632,13.71909,12.72590,11.67926,13.65557,13.72500,13.71998,12.41446,12.28994,13.71928,12.24213,12.03445,12.40190,13.17468,12.59124,11.94631
15.46882,15.97443,15.87050,13.79442,14.82517,15.43198,14.73465,14.45767,14.00324,15.97063,14.67652,14.00350,15.51071,16.53932,16.37185,14.75985,14.98378,15.70325,13.53812,15.07508,14.72921,16.25310,14.75021,14.07247,16.39991,16.29217,16.15069,14.49720,15.11788,15.51478,14.48275,13.31194,14.48474,16.39293,14.36756,14.18129,15.65500,15.70816,15.79851,14.30233,14.74726,16.02768,14.13951,14.01615,14.80684,16.33700,14.27506,13.43982,16.16490,16.05266,15.70246,14.14371,14.40180,16.38754,13.91471,13.87645,14.08418,15.67283,14.46105,13.86543
17.44467,18.10001,17.67242,15.79670,15.75776,16.90751,15.80131,15.70989,15.18047,17.10256,15.68111,15.65523,17.69907,18.37235,17.94755,15.91302,16.50191,17.53465,14.85668,16.63475,16.18278,17.73568,16.10526,15.52703,17.91526,18.03490,17.64706,16.47034,16.27189,17.11785,15.63476,14.92796,16.14995,17.84745,15.93327,15.88803,17.44627,17.63695,17.75867,15.85667,15.91361,17.94180,15.98183,14.90596,15.93023,18.04826,15.97956,14.92917,18.28900,17.84773,16.95547,15.46981,15.84146,17.79168,15.75616,15.28595,15.16774,17.06739,15.45670,15.09836
18.88597,19.16937,18.94991,17.05366,17.09413,18.27098,16.74026,16.94525,16.50967,18.45532,16.74161,16.98237,18.85627,19.51116,19.56374,17.00035,17.56041,18.71699,16.25931,17.55043,17.02556,18.95284,17.36398,16.99726,19.52055,19.48840,18.63787,18.13936,17.22994,18.70265,16.75646,16.28718,17.55484,18.88309,17.03930,16.82461,18.81143,18.65965,19.17677,17.31200,16.85824,19.02811,17.27886,16.09608,17.06411,19.18658,17.27059,15.76214,19.52450,19.05084,18.37204,16.37553,16.98479,19.28139,16.86648,16.45925,16.72404,18.32828,16.82925,16.71406
19.49632,20.40431,19.75160,18.10777,17.65666,19.27736,17.69282,18.07219,17.54005,18.96296,18.04845,18.02876,19.90693,20.75076,20.82113,18.43323,18.78431,19.34520,17.87411,18.49401,17.93290,20.04917,18.74523,18.39799,20.75694,20.14431,19.80995,18.88008,18.15871,19.68387,17.41452,17.29008,17.91979,19.97965,18.34805,17.99192,19.94247,19.67850,19.73643,17.89133,17.80494,19.67896,18.42752,17.47871,18.07962,20.07571,17.98903,16.62605,20.48196,19.54845,19.41700,17.11705,17.97289,20.15912,17.46328,17.65378,17.87771,19.37489,17.93957,17.45535
20.46682,21.13893,20.59816,18.84678,18.72119,19.83635,18.07646,18.72774,18.40507,19.44654,18.93044,18.69703,20.39846,21.37119,21.29701,19.23086,19.52253,20.07537,18.88528,19.17479,18.95467,20.53086,19.43683,19.07986,21.33527,20.81585,20.54366,19.83880,18.73840,19.99971,18.46667,18.12257,18.67963,20.52980,19.16524,19.10446,20.33639,20.38717,20.65751,18.55668,18.88608,20.48038,19.28347,18.66473,19.11038,20.48107,19.08680,17.81502,20.89731,20.08773,20.01165,17.67762,18.54852,20.59362,18.15432,18.75030,18.75891,20.16610,19.25210,18.32775
21.31141,21.52590,21.01328,19.39077,19.41158,20.40610,18.76169,19.52829,18.96401,19.61911,19.69523,19.22957,21.21917,21.50306,21.78169,19.73906,20.14008,21.05911,19.95082,20.05891,19.30575,21.12341,20.09754,19.80061,21.81344,21.45579,20.68863,20.36953,19.66794,20.73689,18.96347,18.56140,19.26842,21.31906,19.85352,19.71228,20.74872,21.05877,20.93663,18.85459,19.75023,21.30796,19.53368,19.22831,19.65025,21.21238,19.46533,18.83335,21.12211,20.56363,20.84054,18.73242,19.55169,21.42464,19.01470,19.56284,19.48533,20.59845,19.60678,19.06904
21.61094,21.47463,21.12177,20.02662,19.77568,20.90365,19.53677,20.18191,19.65491,20.24838,20.40900,19.96790,21.79022,21.82296,21.82830,20.35933,20.71124,21.24287,20.67860,20.51133,20.22126,21.45489,20.84020,20.58698,21.58805,21.50535,21.20093,20.49278,20.72002,21.42524,19.55519,19.04074,20.00143,21.76463,20.19300,20.36094,21.62504,21.09788,20.83860,19.58836,20.42317,21.39800,20.31423,19.55511,20.18222,21.62330,19.63150,19.65976,21.53139,20.77302,21.58277,19.13201,19.93255,21.62461,20.18766,20.29807,20.19170,21.02186,20.51952,19.59055
21.94176,21.93002,21.81951,20.63573,20.38823,21.34147,20.04521,20.42235,19.92639,21.07128,20.79296,20.53419,21.99885,22.02492,21.82902,20.71448,21.25861,21.48593,21.36003,20.92961,20.37928,21.78933,21.48592,20.78505,21.67717,21.83913,21.78027,21.15320,21.22219,21.63540,20.46264,20.04626,20.46305,21.86669,20.79288,21.04828,21.93067,21.68578,21.29707,20.09130,20.52463,21.61189,20.94720,19.95244,20.53272,21.78274,19.94923,20.57652,21.89892,21.26543,21.56434,19.90284,20.45967,21.56078,20.55309,20.54665,20.61965,21.39572,20.93658,19.93114
21.97284,22.02403,21.77239,21.31882,21.08553,21.66749,20.44551,20.57696,20.32296,21.67370,21.37371,20.79662,22.15739,21.98080,22.00321,20.88585,21.35728,21.75645,21.60824,21.29305,20.89856,22.01387,21.53014,21.38663,21.72129,21.80636,21.93649,21.25628,21.40516,21.54309,21.12810,20.39094,20.36736,21.89925,21.02672,21.06718,21.90564,21.74046,21.71119,20.45894,20.84557,21.69700,21.58397,20.52330,20.89117,21.79700,20.47114,20.89065,21.77431,21.17877,21.52972,20.41623,20.76199,21.84280,20.59672,21.04290,21.03405,21.66561,20.95879,20.47546
